Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Object Repository/Page_Home - RisQIT/h1_Ga voor duurzaamheid en vertrouwen, same_4bc4a8""), ""Ga voor duurzaamheid en vertrouwen, samen met ons!"")",Chrome 120.0.0.0,,,2023-12-18 12:36:42,2023-12-18 12:36:42,"0,569s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-18 12:36:42,2023-12-18 12:36:42,"0,131s",PASSED
,,,,,,,
Test Cases/Menu/RT003 MenuClicks - SHT,Chrome 120.0.0.0,,,2023-12-18 12:36:42,2023-12-18 12:37:03,"20,215s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 12:36:42,2023-12-18 12:36:43,"0,651s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2023-12-18 12:36:43,2023-12-18 12:36:43,"0,139s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:36:43,2023-12-18 12:36:44,"0,893s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:44,2023-12-18 12:36:45,"0,556s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SoftwareTesting""))",Chrome 120.0.0.0,,,2023-12-18 12:36:45,2023-12-18 12:36:45,"0,458s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Software Testing - RisQIT/h1_Software Testing""), ""Software Testing"")",Chrome 120.0.0.0,,,2023-12-18 12:36:45,2023-12-18 12:36:46,"0,609s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:36:46,2023-12-18 12:36:46,"0,058s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:46,2023-12-18 12:36:47,"0,773s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SHT""))",Chrome 120.0.0.0,,,2023-12-18 12:36:47,2023-12-18 12:36:47,"0,403s",PASSED
"verifyElementText(findTestObject(""Page_Security en HackersTest (SHT) - RisQIT/h1_Security en HackersTest (SHT)""), ""Security En HackersTest (SHT)"")",Chrome 120.0.0.0,,,2023-12-18 12:36:47,2023-12-18 12:36:48,"1,010s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:36:48,2023-12-18 12:36:48,"0,107s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:48,2023-12-18 12:36:49,"0,744s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_UXLab""))",Chrome 120.0.0.0,,,2023-12-18 12:36:49,2023-12-18 12:36:49,"0,473s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_UX Lab - RisQIT/h1_UX Lab""), ""UX Lab"")",Chrome 120.0.0.0,,,2023-12-18 12:36:49,2023-12-18 12:36:50,"0,575s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:36:50,2023-12-18 12:36:50,"0,123s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:50,2023-12-18 12:36:51,"0,724s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Over ons - RisQIT/h1_Over ons""), ""Over Ons"")",Chrome 120.0.0.0,,,2023-12-18 12:36:51,2023-12-18 12:36:51,"0,568s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:36:51,2023-12-18 12:36:51,"0,100s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:51,2023-12-18 12:36:52,"0,754s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns_MissieVisie""))",Chrome 120.0.0.0,,,2023-12-18 12:36:52,2023-12-18 12:36:53,"0,689s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Missie  Visie - RisQIT/h1_Missie  Visie""), ""Missie & Visie"")",Chrome 120.0.0.0,,,2023-12-18 12:36:53,2023-12-18 12:36:53,"0,555s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:36:53,2023-12-18 12:36:53,"0,125s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:53,2023-12-18 12:36:54,"0,731s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns_HetGilde""))",Chrome 120.0.0.0,,,2023-12-18 12:36:54,2023-12-18 12:36:55,"0,678s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Het Gilde - RisQIT/h1_Het Gilde""), ""Het Gilde"")",Chrome 120.0.0.0,,,2023-12-18 12:36:55,2023-12-18 12:36:55,"0,562s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:36:55,2023-12-18 12:36:56,"0,078s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:56,2023-12-18 12:36:56,"0,730s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns_SuperTester""))",Chrome 120.0.0.0,,,2023-12-18 12:36:56,2023-12-18 12:36:57,"0,659s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_SuperTester - RisQIT/h1_Whitepaper SuperTester""), ""Whitepaper SuperTester"")",Chrome 120.0.0.0,,,2023-12-18 12:36:57,2023-12-18 12:36:58,"0,578s",PASSED
navigateToUrl(URL + SHT),Chrome 120.0.0.0,,,2023-12-18 12:36:58,2023-12-18 12:36:58,"0,104s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Blog""))",Chrome 120.0.0.0,,,2023-12-18 12:36:58,2023-12-18 12:36:58,"0,733s",PASSED
